rung,candidate_id,candidate_label,model_type,candidate_group,caution_level,uses_primary_site_reference,uses_winter_reference,uses_r1_upstream,uses_breast_h,uses_primary_h,fit_status,validation_layer,split_id,n_assessment,n_sites_assessment,assessment_sites,fold_design_note,rung1_all_classes_present,rung2_all_classes_present,n_analysis,primary_reference_rows,primary_reference_sites,museum_reference_rows_core3,log_loss,balanced_accuracy,accuracy,brier,selected_lambda,ece,calibration_intercept,calibration_slope,mean_top_prob,weak_support_rate,predictors_used
Rung 1,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,ridge_binomial,exploratory_extension,training_fold_primary_site_reference_exploratory,TRUE,FALSE,FALSE,FALSE,FALSE,ok,blocked_site_cv,Fold3,12,4,Cass River|Pisa Range|Tiwai Point|Napier,Recommended grouped site-block design. Every assessment fold retains all three Rung 2 classes.,TRUE,TRUE,44,52,8,12,0.5992804526679028,0.6,0.6666666666666666,0.20755858170013322,0.2709950640894856,0.1919957712543705,-0.3457092450249504,3.537037407440097,0.6669580052718902,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn|primary_ref_min_site_dist_cn
Rung 1,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,ridge_binomial,exploratory_extension,training_fold_primary_site_reference_exploratory,TRUE,FALSE,FALSE,FALSE,FALSE,ok,blocked_site_cv,Fold4,12,3,Te Anau|Kaikoura|Porters Beach,Recommended grouped site-block design. Every assessment fold retains all three Rung 2 classes.,TRUE,TRUE,44,60,9,12,1.0788712916329852,0.4,0.3333333333333333,0.4077917894516513,0.10349571736640982,0.49759519322554946,-1.5326884130728582,-0.5286768475512991,0.7418297539196005,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn|primary_ref_min_site_dist_cn
Rung 1,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,ridge_binomial,accepted_baseline,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Cass.River,1,1,Cass River,LOSO split is very small and should be treated as a stress test rather than a stable performance estimate.,FALSE,FALSE,55,68,11,12,0.15782894424792285,1,1,0.02131721170694209,0.10921483340371863,0.1460041496223381,20.799777264867984,NA,0.8539958503776619,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn
Rung 1,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,ridge_binomial,accepted_baseline,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Kaikoura,6,1,Kaikoura,LOSO split is site-pure or site-imbalanced and does not represent all Rung 2 classes.,TRUE,FALSE,50,67,11,12,0.7580988103883483,0.5,0.3333333333333333,0.28195096116990936,0.1734367789079126,0.37209743527949785,-1.157905461837848,2.5718880454505353,0.6087598743501162,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn
Rung 1,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,ridge_binomial,accepted_baseline,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Kaitorete,10,1,Kaitorete,NA,TRUE,TRUE,46,63,11,12,0.6008315456994303,0.8,0.8,0.2049215428239307,0.0720892891231288,0.26538500133433596,0.3971609014991633,1.4592424482302762,0.6744816568160419,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn
Rung 1,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,ridge_binomial,accepted_baseline,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Motueka.Spit,6,1,Motueka Spit,LOSO split is site-pure or site-imbalanced and does not represent all Rung 2 classes.,TRUE,FALSE,50,67,11,12,0.6676031220397749,0.4,0.6666666666666666,0.237281656074523,0.12512313079382303,0.2900127060483422,-1.4462581614254177,-19.6165916666152,0.5598650962743065,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn
Rung 1,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,ridge_binomial,accepted_baseline,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Napier,3,1,Napier,LOSO split is site-pure or site-imbalanced and does not represent all Rung 2 classes.,FALSE,FALSE,53,68,11,12,0.5044932870823438,1,1,0.15842730767199809,0.07882390140574183,0.39299978476092035,23.13482243627513,6.024473402072544e-12,0.6070002152390797,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn
Rung 1,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,ridge_binomial,accepted_baseline,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Pisa.Range,1,1,Pisa Range,LOSO split is very small and should be treated as a stress test rather than a stable performance estimate.,FALSE,FALSE,55,69,11,12,0.5559998006185951,1,1,0.18190345254376566,0.09271228175922559,0.42650140977934137,22.26992875004657,NA,0.5734985902206586,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn
Rung 1,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,ridge_binomial,accepted_baseline,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Porters.Beach,2,1,Porters Beach,LOSO split is very small and should be treated as a stress test rather than a stable performance estimate.,FALSE,FALSE,54,71,11,12,0.5991792023976312,1,1,0.2032762611402606,0.16301746682986842,0.45017371134170303,23.36740509586361,-1.257310519887654e-7,0.549826288658297,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn
Rung 1,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,ridge_binomial,accepted_baseline,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Rangipo.Desert,3,1,Rangipo Desert,LOSO split is site-pure or site-imbalanced and does not represent all Rung 2 classes.,FALSE,FALSE,53,68,11,12,0.07200854073114117,1,1,0.005555347707670808,0.2830843109679196,0.06905919592756671,20.894943382036363,4.106712974347622e-12,0.9309408040724333,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn
Rung 1,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,ridge_binomial,accepted_baseline,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Tasman.River,13,1,Tasman River,LOSO split is site-pure or site-imbalanced and does not represent all Rung 2 classes.,FALSE,FALSE,43,60,11,12,0.5426725504804201,0.8461538461538461,0.8461538461538461,0.17667340604687684,0.9049673654749572,0.4143049145736164,24.23018649906379,1.673186915396154e-6,0.5973786692891334,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn
Rung 1,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,ridge_binomial,accepted_baseline,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Te.Anau,4,1,Te Anau,LOSO split is site-pure or site-imbalanced and does not represent all Rung 2 classes.,TRUE,FALSE,52,68,11,12,0.8302333060507099,0.5,0.25,0.31558332768900715,0.11178399492010975,0.307508403208434,-1.362111044633922,-27.701765859229216,0.557508403208434,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn
Rung 1,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,ridge_binomial,accepted_baseline,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Tiwai.Point,7,1,Tiwai Point,LOSO split is site-pure or site-imbalanced and does not represent all Rung 2 classes.,TRUE,FALSE,49,66,11,12,0.6387247652751409,0.7,0.5714285714285714,0.22466372377775956,0.2532515925434027,0.4637910982297858,-1.2245074169872718,123.36544917298164,0.5732698909444204,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn
Rung 1,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,ridge_binomial,accepted_comparator,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Cass.River,1,1,Cass River,LOSO split is very small and should be treated as a stress test rather than a stable performance estimate.,FALSE,FALSE,55,68,11,12,0.24339984730073516,1,1,0.0466741511178651,0.22988675547367718,0.21604201239079657,21.277186015139577,NA,0.7839579876092034,0,normalised_d13c_Breast|normalised_d15n_Breast|abs_delta_d13c|abs_delta_d15n
Rung 1,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,ridge_binomial,accepted_comparator,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Kaikoura,6,1,Kaikoura,LOSO split is site-pure or site-imbalanced and does not represent all Rung 2 classes.,TRUE,FALSE,50,67,11,12,0.7395355542481624,0.625,0.5,0.27407440870066785,0.062329946584551855,0.34907228107705135,-1.2362431055027694,1.8496548502663734,0.622732893039103,0,normalised_d13c_Breast|normalised_d15n_Breast|abs_delta_d13c|abs_delta_d15n
Rung 1,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,ridge_binomial,accepted_comparator,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Kaitorete,10,1,Kaitorete,NA,TRUE,TRUE,46,63,11,12,0.6531732832839203,0.6,0.6,0.2304667629592126,0.3847188538416108,0.09218753082524153,-0.08615378210491817,2.8378714256570015,0.5627615783766129,0,normalised_d13c_Breast|normalised_d15n_Breast|abs_delta_d13c|abs_delta_d15n
Rung 1,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,ridge_binomial,accepted_comparator,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Motueka.Spit,6,1,Motueka Spit,LOSO split is site-pure or site-imbalanced and does not represent all Rung 2 classes.,TRUE,FALSE,50,67,11,12,0.8712585175222956,0.5,0.16666666666666666,0.33715375949770104,0.3481625440239441,0.4259156329763153,-1.9934863563048022,-427.30177082208286,0.592582299642982,0,normalised_d13c_Breast|normalised_d15n_Breast|abs_delta_d13c|abs_delta_d15n
Rung 1,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,ridge_binomial,accepted_comparator,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Napier,3,1,Napier,LOSO split is site-pure or site-imbalanced and does not represent all Rung 2 classes.,FALSE,FALSE,53,68,11,12,0.5775275320063015,1,1,0.19325482393005194,0.12550994191237747,0.43611829509758293,23.31350107562761,2.5949736439962495e-10,0.5638817049024171,0,normalised_d13c_Breast|normalised_d15n_Breast|abs_delta_d13c|abs_delta_d15n
Rung 1,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,ridge_binomial,accepted_comparator,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Pisa.Range,1,1,Pisa Range,LOSO split is very small and should be treated as a stress test rather than a stable performance estimate.,FALSE,FALSE,55,69,11,12,0.5030641677550214,1,1,0.1562818615450445,0.12256018022569674,0.3953250074875665,22.141085674839044,NA,0.6046749925124335,0,normalised_d13c_Breast|normalised_d15n_Breast|abs_delta_d13c|abs_delta_d15n
Rung 1,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,ridge_binomial,accepted_comparator,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Porters.Beach,2,1,Porters Beach,LOSO split is very small and should be treated as a stress test rather than a stable performance estimate.,FALSE,FALSE,54,71,11,12,0.643675575388119,1,1,0.22530127035213293,0.17891146859958582,0.47448362486072415,23.464324867024732,-2.4411804665849903e-7,0.5255163751392758,0,normalised_d13c_Breast|normalised_d15n_Breast|abs_delta_d13c|abs_delta_d15n
Rung 1,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,ridge_binomial,accepted_comparator,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Rangipo.Desert,3,1,Rangipo Desert,LOSO split is site-pure or site-imbalanced and does not represent all Rung 2 classes.,FALSE,FALSE,53,68,11,12,0.08204216804244516,1,1,0.006961825135756292,0.21414289985330176,0.07832241271991203,21.04801542385709,1.028768005735304e-11,0.921677587280088,0,normalised_d13c_Breast|normalised_d15n_Breast|abs_delta_d13c|abs_delta_d15n
Rung 1,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,ridge_binomial,accepted_comparator,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Tasman.River,13,1,Tasman River,LOSO split is site-pure or site-imbalanced and does not represent all Rung 2 classes.,FALSE,FALSE,43,60,11,12,0.48687384483450014,0.8461538461538461,0.8461538461538461,0.15311278727880404,0.3569377766499658,0.3736933502095931,25.074385133096055,6.862589835225815e-10,0.6499950625853884,0,normalised_d13c_Breast|normalised_d15n_Breast|abs_delta_d13c|abs_delta_d15n
Rung 1,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,ridge_binomial,accepted_comparator,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Te.Anau,4,1,Te Anau,LOSO split is site-pure or site-imbalanced and does not represent all Rung 2 classes.,TRUE,FALSE,52,68,11,12,0.8285856427623708,0,0,0.3155143387110076,0.1346442176255419,0.557883412706025,-1.3502427269937056,-452.56416582343775,0.557883412706025,0,normalised_d13c_Breast|normalised_d15n_Breast|abs_delta_d13c|abs_delta_d15n
Rung 1,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,ridge_binomial,accepted_comparator,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Tiwai.Point,7,1,Tiwai Point,LOSO split is site-pure or site-imbalanced and does not represent all Rung 2 classes.,TRUE,FALSE,49,66,11,12,0.7437751769205623,0.5,0.2857142857142857,0.27653917996554317,0.23075341905248367,0.4183659449367806,-1.438844297113787,223.58218011755824,0.6230638316576667,0,normalised_d13c_Breast|normalised_d15n_Breast|abs_delta_d13c|abs_delta_d15n
Rung 1,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,ridge_binomial,exploratory_extension,training_fold_primary_site_reference_exploratory,TRUE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Cass.River,1,1,Cass River,LOSO split is very small and should be treated as a stress test rather than a stable performance estimate.,FALSE,FALSE,55,68,11,12,0.13594467615036587,1,1,0.0161567174967045,0.05694470465394937,0.1271090771609349,20.63930354674621,NA,0.8728909228390651,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn|primary_ref_min_site_dist_cn
Rung 1,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,ridge_binomial,exploratory_extension,training_fold_primary_site_reference_exploratory,TRUE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Kaikoura,6,1,Kaikoura,LOSO split is site-pure or site-imbalanced and does not represent all Rung 2 classes.,TRUE,FALSE,50,67,11,12,0.7948139286368814,0.5,0.3333333333333333,0.30007078790913816,0.2761603987875725,0.39725679957498083,-1.2698329965661388,4.070469963379644,0.6372247769875946,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn|primary_ref_min_site_dist_cn
Rung 1,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,ridge_binomial,exploratory_extension,training_fold_primary_site_reference_exploratory,TRUE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Kaitorete,10,1,Kaitorete,NA,TRUE,TRUE,46,63,11,12,0.5992614182030569,0.8,0.8,0.2041234356554468,0.0656850753638364,0.26670405495644395,0.4138113625221988,1.39648998512869,0.6817576116251053,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn|primary_ref_min_site_dist_cn
Rung 1,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,ridge_binomial,exploratory_extension,training_fold_primary_site_reference_exploratory,TRUE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Motueka.Spit,6,1,Motueka Spit,LOSO split is site-pure or site-imbalanced and does not represent all Rung 2 classes.,TRUE,FALSE,50,67,11,12,0.6835339428868245,0.8,0.6666666666666666,0.24508011360969056,0.13732248158084698,0.328520030372663,-1.6046130177158622,1.3921897811849087,0.5414637191762645,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn|primary_ref_min_site_dist_cn
Rung 1,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,ridge_binomial,exploratory_extension,training_fold_primary_site_reference_exploratory,TRUE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Napier,3,1,Napier,LOSO split is site-pure or site-imbalanced and does not represent all Rung 2 classes.,FALSE,FALSE,53,68,11,12,0.4425881571087203,1,1,0.12986429992613643,0.12550994191237747,0.35450468347370667,22.966764674678977,1.0597918819849528e-7,0.6454953165262933,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn|primary_ref_min_site_dist_cn
Rung 1,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,ridge_binomial,exploratory_extension,training_fold_primary_site_reference_exploratory,TRUE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Pisa.Range,1,1,Pisa Range,LOSO split is very small and should be treated as a stress test rather than a stable performance estimate.,FALSE,FALSE,55,69,11,12,0.5806915458212625,1,1,0.19403029038713435,0.16201734540376103,0.4404886949595124,22.326889603769168,NA,0.5595113050404876,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn|primary_ref_min_site_dist_cn
Rung 1,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,ridge_binomial,exploratory_extension,training_fold_primary_site_reference_exploratory,TRUE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Porters.Beach,2,1,Porters Beach,LOSO split is very small and should be treated as a stress test rather than a stable performance estimate.,FALSE,FALSE,54,71,11,12,0.623762913794849,0.5,0.5,0.2156866817540634,0.2848776529825056,0.46191313529929406,23.418725346217744,-6.479878004689486e-8,0.5481968587362231,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn|primary_ref_min_site_dist_cn
Rung 1,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,ridge_binomial,exploratory_extension,training_fold_primary_site_reference_exploratory,TRUE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Rangipo.Desert,3,1,Rangipo Desert,LOSO split is site-pure or site-imbalanced and does not represent all Rung 2 classes.,FALSE,FALSE,53,68,11,12,0.061743284958128426,1,1,0.004060151447115042,0.31068468181774417,0.059608659096499816,20.748116737532502,3.066179382251809e-10,0.9403913409035002,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn|primary_ref_min_site_dist_cn
Rung 1,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,ridge_binomial,exploratory_extension,training_fold_primary_site_reference_exploratory,TRUE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Tasman.River,13,1,Tasman River,LOSO split is site-pure or site-imbalanced and does not represent all Rung 2 classes.,FALSE,FALSE,43,60,11,12,0.20029777998092801,0.9230769230769231,0.9230769230769231,0.04806030519810676,0.10649764122545415,0.16575374883405194,23.952052744333574,2.718046531998431e-10,0.8428513842361464,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn|primary_ref_min_site_dist_cn
Rung 1,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,ridge_binomial,exploratory_extension,training_fold_primary_site_reference_exploratory,TRUE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Te.Anau,4,1,Te Anau,LOSO split is site-pure or site-imbalanced and does not represent all Rung 2 classes.,TRUE,FALSE,52,68,11,12,1.0634578667921728,0,0,0.42199344897526536,0.1953457057892064,0.6438711410339099,-1.7139256290150007,-78.9821591632256,0.64387114103391,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn|primary_ref_min_site_dist_cn
Rung 1,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,ridge_binomial,exploratory_extension,training_fold_primary_site_reference_exploratory,TRUE,FALSE,FALSE,FALSE,FALSE,ok,leave_one_site_out_cv,Site__Tiwai.Point,7,1,Tiwai Point,LOSO split is site-pure or site-imbalanced and does not represent all Rung 2 classes.,TRUE,FALSE,49,66,11,12,0.6942539454245868,0.6,0.42857142857142855,0.25477305169511627,0.13204559024704207,0.47058765701121363,-1.5955949792923478,85.07602361060391,0.6547694203433958,0,abs_delta_d13c|abs_delta_d15n|paired_distance_cn|primary_ref_min_site_dist_cn
